"","MeanDecreaseGini"
"Id",0.0354211629579436
"FNC1",0.02970346947405
"FNC2",0.0283890475158775
"FNC3",0.025686034953584
"FNC4",0.0647295309649095
"FNC5",0.146985585464659
"FNC6",0.0393597421372629
"FNC7",0.0485043020438865
"FNC8",0.0317464370773113
"FNC9",0.082084727648269
"FNC10",0.0287786425544714
"FNC11",0.0518290275394705
"FNC12",0.0365070246187533
"FNC13",0.123900509774264
"FNC14",0.0375461275443633
"FNC15",0.0552837661071754
"FNC16",0.0643176949531522
"FNC17",0.0422606815177227
"FNC18",0.0384467229622063
"FNC19",0.0363996368508242
"FNC20",0.0828738754807506
"FNC21",0.0259733810880646
"FNC22",0.0442509576561606
"FNC23",0.0542858479812552
"FNC24",0.0325137463636615
"FNC25",0.032124990655016
"FNC26",0.0477086469474178
"FNC27",0.0314369896397746
"FNC28",0.0397003181680633
"FNC29",0.0871717883517176
"FNC30",0.134335790243327
"FNC31",0.040284782658322
"FNC32",0.0282224376334954
"FNC33",0.271933763291931
"FNC34",0.0489377037826274
"FNC35",0.0644614805660613
"FNC36",0.0540398950032836
"FNC37",0.238442890866165
"FNC38",0.0688227580190551
"FNC39",0.0595303218866887
"FNC40",0.126983353592413
"FNC41",0.0808670291856137
"FNC42",0.0960421659769878
"FNC43",0.0629427028810548
"FNC44",0.056130157397469
"FNC45",0.0622073873361423
"FNC46",0.0422189217101159
"FNC47",0.0648882370533593
"FNC48",0.189595470930469
"FNC49",0.0628163868101791
"FNC50",0.0338785671390379
"FNC51",0.051917036835147
"FNC52",0.0379965245509029
"FNC53",0.0336101516602352
"FNC54",0.0759558499122709
"FNC55",0.0402399129327808
"FNC56",0.0251306638257892
"FNC57",0.0426759290035733
"FNC58",0.0360400985781322
"FNC59",0.022473843110467
"FNC60",0.0392531734370625
"FNC61",0.189075125776523
"FNC62",0.137503303048446
"FNC63",0.156984115984331
"FNC64",0.16761618563489
"FNC65",0.0478673297026595
"FNC66",0.0451501140488762
"FNC67",0.0278981984266665
"FNC68",0.0849196063789324
"FNC69",0.0553109339335828
"FNC70",0.0356591792846734
"FNC71",0.0825159263702067
"FNC72",0.0408745313954135
"FNC73",0.0355032705212521
"FNC74",0.0380386393837515
"FNC75",0.111944622914296
"FNC76",0.0486520833785182
"FNC77",0.0351824848709469
"FNC78",0.242757789326268
"FNC79",0.0297898955474126
"FNC80",0.0298505943666758
"FNC81",0.0303048536764342
"FNC82",0.0608274241320602
"FNC83",0.0929246713056844
"FNC84",0.0335675428316964
"FNC85",0.0739387504211894
"FNC86",0.0438520202684902
"FNC87",0.0262852119796321
"FNC88",0.0778480016760467
"FNC89",0.113366045556688
"FNC90",0.0530755855437282
"FNC91",0.0458627401918699
"FNC92",0.035591309317147
"FNC93",0.0396713628045942
"FNC94",0.0317064379470559
"FNC95",0.0399880764688397
"FNC96",0.0687299346457916
"FNC97",0.0212762865283696
"FNC98",0.0251977355129566
"FNC99",0.0316551196077788
"FNC100",0.0461839733223361
"FNC101",0.0365805837048595
"FNC102",0.0887127562981179
"FNC103",0.0500286518077134
"FNC104",0.0474160130344281
"FNC105",0.0914818618001569
"FNC106",0.0903846793446345
"FNC107",0.0483461737613095
"FNC108",0.0479646568401366
"FNC109",0.0460186266414882
"FNC110",0.0361822606287929
"FNC111",0.0385530444101712
"FNC112",0.055785543848959
"FNC113",0.0579678952816592
"FNC114",0.0541504204605252
"FNC115",0.0493112378306813
"FNC116",0.0458838112445222
"FNC117",0.034686567162521
"FNC118",0.0630727115748231
"FNC119",0.0368715215415314
"FNC120",0.0192145335759604
"FNC121",0.0263966291957054
"FNC122",0.0327674319747489
"FNC123",0.0281149729148535
"FNC124",0.03948751039719
"FNC125",0.0403031720538364
"FNC126",0.0322406534807968
"FNC127",0.0557490076831922
"FNC128",0.0662893686699777
"FNC129",0.028441305437807
"FNC130",0.0453045535560638
"FNC131",0.0497088822017143
"FNC132",0.0249257175065872
"FNC133",0.0332658359922948
"FNC134",0.0492303029245239
"FNC135",0.0908801032684418
"FNC136",0.0328711556375725
"FNC137",0.0689625859772041
"FNC138",0.0754059202723821
"FNC139",0.0407928391067548
"FNC140",0.0399775079513464
"FNC141",0.0438284519889453
"FNC142",0.0835483351828848
"FNC143",0.0292969698974617
"FNC144",0.0467987794272681
"FNC145",0.0423960988756788
"FNC146",0.0435240198939406
"FNC147",0.0318199683566714
"FNC148",0.0286011703387784
"FNC149",0.0334632344512746
"FNC150",0.104875510386411
"FNC151",0.0604258116283537
"FNC152",0.0345119692021872
"FNC153",0.0224988844203932
"FNC154",0.0302169749343892
"FNC155",0.0386277156405195
"FNC156",0.113989788794161
"FNC157",0.0675355040823887
"FNC158",0.0397622902765723
"FNC159",0.058590356040113
"FNC160",0.0317688730929591
"FNC161",0.04043261739763
"FNC162",0.0372704128969859
"FNC163",0.0372756430157496
"FNC164",0.0335169393356235
"FNC165",0.107723327588873
"FNC166",0.0333609924029471
"FNC167",0.0601371309500488
"FNC168",0.0431016362749615
"FNC169",0.0604258246595318
"FNC170",0.0684502209403458
"FNC171",0.191182974023213
"FNC172",0.0553974557284543
"FNC173",0.0640174775817743
"FNC174",0.03421361026864
"FNC175",0.0324364867124067
"FNC176",0.0359662595009333
"FNC177",0.0424732584633497
"FNC178",0.0388261386589404
"FNC179",0.0832765744757201
"FNC180",0.0449656851554134
"FNC181",0.0480741882923293
"FNC182",0.0584052034338523
"FNC183",0.332165420389362
"FNC184",0.0297508855282215
"FNC185",0.162028458211746
"FNC186",0.0455825469140419
"FNC187",0.030348391177953
"FNC188",0.0414129694341972
"FNC189",0.165242068797727
"FNC190",0.0756043971748308
"FNC191",0.0546163265390425
"FNC192",0.036524998677231
"FNC193",0.0579594219897056
"FNC194",0.125246110515584
"FNC195",0.0315730436308372
"FNC196",0.0412757171405677
"FNC197",0.0454275514343703
"FNC198",0.0597633067272323
"FNC199",0.0319484745990119
"FNC200",0.117774582310957
"FNC201",0.0375414586195971
"FNC202",0.0248220919924635
"FNC203",0.0271696229686334
"FNC204",0.0433477470475501
"FNC205",0.0506536288997145
"FNC206",0.0356320942247539
"FNC207",0.0408884851070176
"FNC208",0.151750159772261
"FNC209",0.054435894103867
"FNC210",0.0978092919002863
"FNC211",0.142711524284595
"FNC212",0.0389726228785879
"FNC213",0.105425027359612
"FNC214",0.0330623329971779
"FNC215",0.0590989985624133
"FNC216",0.0448971208091217
"FNC217",0.0401113871339095
"FNC218",0.0396649077118333
"FNC219",0.0636158116938723
"FNC220",0.232608334025841
"FNC221",0.0857150966168613
"FNC222",0.041728786369137
"FNC223",0.0575536366332678
"FNC224",0.0263352296652134
"FNC225",0.0506655213130947
"FNC226",0.351596617008729
"FNC227",0.0377580366397127
"FNC228",0.0684567615415615
"FNC229",0.0460388621821905
"FNC230",0.0324121347906166
"FNC231",0.0343730792347348
"FNC232",0.0673095051339573
"FNC233",0.0797703623968077
"FNC234",0.0463471155454291
"FNC235",0.0479251179428157
"FNC236",0.0691349878355254
"FNC237",0.0417596160204037
"FNC238",0.0566060430021453
"FNC239",0.0633213526093188
"FNC240",0.0400876371295569
"FNC241",0.0363903891258016
"FNC242",0.0372162684620565
"FNC243",0.299289142128382
"FNC244",0.472784898077377
"FNC245",0.0661137893533467
"FNC246",0.0683346318647898
"FNC247",0.035067904453272
"FNC248",0.0466036115532567
"FNC249",0.0542866860714032
"FNC250",0.0437698464831333
"FNC251",0.0756783539704189
"FNC252",0.0401319495540068
"FNC253",0.0493828065289231
"FNC254",0.0361155302452079
"FNC255",0.0464235489279928
"FNC256",0.105200190530754
"FNC257",0.0528816256179809
"FNC258",0.0216418029022461
"FNC259",0.0824830845786754
"FNC260",0.0529640457680882
"FNC261",0.0484211114918161
"FNC262",0.0312726607076028
"FNC263",0.0533749659869889
"FNC264",0.0667416072972085
"FNC265",0.143176019290333
"FNC266",0.0268557480253584
"FNC267",0.0402105824594386
"FNC268",0.0415541743325888
"FNC269",0.0354702365878399
"FNC270",0.0437622027389243
"FNC271",0.0392294118384664
"FNC272",0.0478767439053054
"FNC273",0.0552523771606677
"FNC274",0.0540551069464959
"FNC275",0.0723291672827596
"FNC276",0.0671767335444899
"FNC277",0.0582204587237332
"FNC278",0.0861747635233616
"FNC279",0.124538682580289
"FNC280",0.0383850098748272
"FNC281",0.0339844110992693
"FNC282",0.0506615823935575
"FNC283",0.0288058348286994
"FNC284",0.103009148327138
"FNC285",0.0964292308965819
"FNC286",0.0308123640996419
"FNC287",0.0379999510246987
"FNC288",0.0506810462881168
"FNC289",0.271768306759769
"FNC290",0.178781231657775
"FNC291",0.0660405434502667
"FNC292",0.169210549134605
"FNC293",0.139869898641579
"FNC294",0.062056216214809
"FNC295",0.41306913026871
"FNC296",0.0602698115557235
"FNC297",0.214165184511205
"FNC298",0.0671093656307947
"FNC299",0.0525461375121074
"FNC300",0.0507230832790978
"FNC301",0.0996037317508627
"FNC302",0.326055717756179
"FNC303",0.0280526294790529
"FNC304",0.0792278554427156
"FNC305",0.0432945712885343
"FNC306",0.050818997632932
"FNC307",0.0515846608715608
"FNC308",0.0605114716850534
"FNC309",0.0425874462673702
"FNC310",0.0332933533525134
"FNC311",0.0513246951881642
"FNC312",0.0601790094317233
"FNC313",0.0696389009370595
"FNC314",0.0359539922862201
"FNC315",0.0561852950365526
"FNC316",0.0455417496429568
"FNC317",0.0316122411465397
"FNC318",0.0838455242990816
"FNC319",0.0563879622197259
"FNC320",0.0402558116350296
"FNC321",0.0994530609508231
"FNC322",0.0340111733733109
"FNC323",0.092022012025273
"FNC324",0.0393699722872851
"FNC325",0.0551039927102055
"FNC326",0.0266710681198783
"FNC327",0.0357790286430237
"FNC328",0.148024804312899
"FNC329",0.0451496995180042
"FNC330",0.0576140884326902
"FNC331",0.0230553322951602
"FNC332",0.0392292377751065
"FNC333",0.203305548087539
"FNC334",0.0931608176906666
"FNC335",0.0962270840579802
"FNC336",0.0242960981017889
"FNC337",0.119861816123589
"FNC338",0.0357350367652868
"FNC339",0.105356174777981
"FNC340",0.0365401595385463
"FNC341",0.0257649665888491
"FNC342",0.0805633979676588
"FNC343",0.0406457560945854
"FNC344",0.0396989010609513
"FNC345",0.0438830593623904
"FNC346",0.0261592101008971
"FNC347",0.0700530691317805
"FNC348",0.0315057032989136
"FNC349",0.0401806151477413
"FNC350",0.0886226974126394
"FNC351",0.043759497228781
"FNC352",0.0380785063649144
"FNC353",0.131575140233819
"FNC354",0.0328639319546766
"FNC355",0.0366773066469465
"FNC356",0.0561902951538545
"FNC357",0.0331112105095142
"FNC358",0.0391138318803331
"FNC359",0.0436992924734255
"FNC360",0.0359068039283097
"FNC361",0.0351265672131937
"FNC362",0.0399405216389468
"FNC363",0.0632641244292058
"FNC364",0.0318138598554361
"FNC365",0.0595803534165673
"FNC366",0.0274722601599843
"FNC367",0.0357264049581912
"FNC368",0.0967809689024828
"FNC369",0.0254888422818621
"FNC370",0.0486834765588749
"FNC371",0.0761554699892127
"FNC372",0.0390665349786913
"FNC373",0.0568487231128978
"FNC374",0.0538493181883783
"FNC375",0.0559630247377791
"FNC376",0.084097971265012
"FNC377",0.0311917969523597
"FNC378",0.0277084266299384
"SBM_map1",0.0654826065032563
"SBM_map2",0.049253587461112
"SBM_map3",0.0704848857352135
"SBM_map4",0.0614361356075852
"SBM_map5",0.050895517801117
"SBM_map6",0.0506069341171971
"SBM_map7",0.196123914005713
"SBM_map8",0.0658681015168602
"SBM_map10",0.0295250136530643
"SBM_map13",0.0639684978700822
"SBM_map17",0.196750506664624
"SBM_map22",0.0698755863843332
"SBM_map26",0.0478961638214547
"SBM_map28",0.0426398293996072
"SBM_map32",0.034763922002821
"SBM_map36",0.254984460939554
"SBM_map40",0.0624379796490893
"SBM_map43",0.0399444549003018
"SBM_map45",0.0502068464364264
"SBM_map48",0.0438946834459209
"SBM_map51",0.0344536183645045
"SBM_map52",0.0558781812239172
"SBM_map55",0.038351819989055
"SBM_map61",0.386973495205779
"SBM_map64",0.1218671071228
"SBM_map67",0.429819293218695
"SBM_map69",0.0388968850498631
"SBM_map71",0.026324524454473
"SBM_map72",0.0638649229895953
"SBM_map73",0.0692819572000085
"SBM_map74",0.056107840704325
"SBM_map75",0.166510140716908
"corr_01",0.0754160523737938
"corr_02",0.383759351521934
"corr_03",0.0316951170447359
"corr_04",0.0285117586218104
"corr_05",0.139456893307383
"corr_06",0.058628299269008
"corr_07",0.0733360512021332
"corr_08",0.213988359272767
"corr_09",0.0769539042889376
"corr_10",0.0254132483513214
"corr_11",0.0292268302617941
"corr_12",0.100592464518329
"corr_13",0.0248952385631995
"corr_14",0.0246893511767893
"corr_15",0.225205130474501
"corr_16",0.0425951978995347
"corr_17",0.100117605890958
"corr_18",0.0286061359788629
"corr_19",0.110016254592451
"corr_20",0.0269346981164887
"corr_21",0.0396944264893717
"corr_22",0.0833766609270441
"corr_23",0.0424688397986386
"corr_24",0.106329672962046
"corr_25",0.113017821073481
"corr_26",0.203231487037282
"corr_27",0.308927289115263
"corr_28",0.0620470455403325
"vari_01",0.0723583247649324
"vari_02",0.390873989459482
"vari_03",0.0418717041590009
"vari_04",0.0264901259929058
"vari_05",0.131679802641112
"vari_06",0.0531566508525116
"vari_07",0.0659193687783413
"vari_08",0.180523878400609
"vari_09",0.0708436925183266
"vari_10",0.0268640748938183
"vari_11",0.0273070593540559
"vari_12",0.098521228389003
"vari_13",0.0257858833608814
"vari_14",0.0394424792060987
"vari_15",0.206484757197056
"vari_16",0.0428026751681107
"vari_17",0.127026464668206
"vari_18",0.0253844140226315
"vari_19",0.10854847661765
"vari_20",0.0308794763235901
"vari_21",0.0406914944245156
"vari_22",0.0820459895041226
"vari_23",0.0459288088575868
"vari_24",0.0963679551732335
"vari_25",0.110999781402834
"vari_26",0.174273249778371
"vari_27",0.311788618830943
"vari_28",0.0742517090522445
"degr_01",0.0312739591261403
"degr_02",0.252210473937904
"degr_03",0.034812086220098
"degr_04",0.0645206086214026
"degr_05",0.0308530888693907
"degr_06",0.0523045481022045
"degr_07",0.055561811591969
"degr_08",0.0781655690371696
"degr_09",0.07330211476036
"degr_10",0.0664981093870779
"degr_11",0.034937919910306
"degr_12",0.0325953505739768
"degr_13",0.0574892064629128
"degr_14",0.0915051802688296
"degr_15",0.113609157938466
"degr_16",0.0753893153077996
"degr_17",0.0595895376798877
"degr_18",0.0606635612897884
"degr_19",0.050008134489797
"degr_20",0.0557087965663136
"degr_21",0.0849875389141836
"degr_22",0.0397022372075677
"degr_23",0.0687789032680096
"degr_24",0.041515698610382
"degr_25",0.0623603213940113
"degr_26",0.0318504883724709
"degr_27",0.116053190211813
"degr_28",0.0397272092215554
"clst_01",0.102794782983554
"clst_02",0.0789116919348814
"clst_03",0.0345661141291824
"clst_04",0.0617855612245067
"clst_05",0.0409574651469004
"clst_06",0.0797979594747856
"clst_07",0.050293919874944
"clst_08",0.0833399191117089
"clst_09",0.0272872692552066
"clst_10",0.0296590713071346
"clst_11",0.068863548413172
"clst_12",0.0800105630585861
"clst_13",0.0390820131746705
"clst_14",0.0396100446231795
"clst_15",0.0865071101088756
"clst_16",0.0591383403314258
"clst_17",0.0433721353882827
"clst_18",0.0891633213185842
"clst_19",0.0457422480352641
"clst_20",0.0230432396078476
"clst_21",0.0354747212099602
"clst_22",0.0996578900615615
"clst_23",0.169437551564216
"clst_24",0.435447882178879
"clst_25",0.127953350884025
"clst_26",0.0424055247652302
"clst_27",0.0360815724555005
"clst_28",0.0752370829153773
"page_01",0.0347121358091192
"page_02",0.315090335164255
"page_03",0.0378403225494699
"page_04",0.124773162169624
"page_05",0.0444771486613908
"page_06",0.0529622293423887
"page_07",0.0545757476845526
"page_08",0.0826787741722169
"page_09",0.0614523625671552
"page_10",0.0964238094015483
"page_11",0.0458481421657144
"page_12",0.0383883084336334
"page_13",0.0885942899041772
"page_14",0.0760957241145595
"page_15",0.133671519639064
"page_16",0.075120253743733
"page_17",0.0552320465717659
"page_18",0.11762803674204
"page_19",0.0504010870514562
"page_20",0.0480320556292734
"page_21",0.0760410192466311
"page_22",0.0489204871106256
"page_23",0.0642813758011627
"page_24",0.0525444182286063
"page_25",0.0732989650552993
"page_26",0.0337104011573026
"page_27",0.100096551919966
"page_28",0.0435390980531806
"part_01",0.0590852650983808
"part_02",0.0297689118562255
"part_03",0.0230974366275227
"part_04",0.0243735211294111
"part_05",0.0340400621516171
"part_06",0.0439294686353585
"part_07",0.0314079153030622
"part_08",0.0277147459832893
"part_09",0.0782008279794434
"part_10",0.0511123165959298
"part_11",0.0554718746464501
"part_12",0.0707084823126428
"part_13",0.0375933570480427
"part_14",0.073503971490668
"part_15",0.0371349034955969
"part_16",0.0937138970621036
"part_17",0.0556419923868133
"part_18",0.0657091770351851
"part_19",0.0419250693959585
"part_20",0.0300639260328469
"part_21",0.0409667991309337
"part_22",0.0484424088862896
"part_23",0.0968361432015898
"part_24",0.0588531560417049
"part_25",0.0603124480173961
"part_26",0.0390285264079488
"part_27",0.0285451958799537
"part_28",0.0365589372422831
"entr_01",0.0824741584283807
"entr_02",0.0390489881938269
"entr_03",0.0236632769407917
"entr_04",0.0255567944897912
"entr_05",0.0233305222391268
"entr_06",0.0372173710707851
"entr_07",0.0345167910961983
"entr_08",0.051614132826761
"entr_09",0.0778993383190486
"entr_10",0.0446876836364635
"entr_11",0.047834663288407
"entr_12",0.0366068610502068
"entr_13",0.045183743854057
"entr_14",0.0510535741908694
"entr_15",0.0269043486498173
"entr_16",0.0927040037960737
"entr_17",0.0755567547698289
"entr_18",0.0669495985273012
"entr_19",0.030118617361694
"entr_20",0.0316685032938541
"entr_21",0.0542200256803951
"entr_22",0.0801764400066203
"entr_23",0.0706178492279794
"entr_24",0.0362076711524127
"entr_25",0.0424554199659443
"entr_26",0.0465765238314972
"entr_27",0.0499465773491555
"entr_28",0.0306543131587227
"gl_intc",0.0559609351135269
"gl_swld",0.0312638119689185
"gl_effc",0.149721591587109
"gl_robc",0.045086203968547
"gl_modc",0.04043078134689
